NAME,LON,LAT,VAL
Abraham Lincoln Birthplace National Historical Park,-85.7302,37.5332,260
Abraham Lincoln National Cemetery,-88.12595,41.3896,412
Acadia National Park,-68.04902,44.454,302
Adams National Historical Park,-71.01119,42.25639,309
Admiralty Island National Monument,-134.16105,57.61806,240
African American Civil War Memorial,-77.02569,38.91639,226
African Burial Ground National Monument,-73.99364,40.71367,344
Agate Fossil Beds National Monument,-103.75492,42.42428,365
Agua Fria National Monument,-112.07633,34.15417,124
AIDS Memorial Grove,-122.46122,37.77,200
Ala Kahakai National Historic Trail,-155.68106,18.91111,380
Alagnak River,-156.79582,59.01063,430
Aleutian World War II National Historic Area,-166.52692,53.88889,272
Alibates Flint Quarries National Monument,-101.66722,35.57139,61
Allegheny Portage Railroad,-78.5401,40.45417,12
Amistad National Recreation Area,-101.04972,29.43667,195
Anacostia Park,-76.89998,38.8,130
Andersonville National Cemetery,-84.13093,32.20358,316
Andersonville National Historic Site,-84.12686,32.19759,403
Andrew Johnson National Cemetery,-82.83763,36.15527,43
Andrew Johnson National Historic Site,-82.83482,36.15833,494
Aniakchak National Monument and Preserve,-158.14972,56.9,179
Antietam National Battlefield,-77.73945,39.4803,64
Antietam National Cemetery,-77.73904,39.47914,115
Apostle Islands National Lakeshore,-90.66402,46.96528,22
Appomattox Court House National Historical Park,-78.80083,37.37845,315
Arches National Park,-109.56462,38.77,379
Arkansas Post National Memorial,-91.34347,34.02361,314
Arlington House The Robert E. Lee Memorial,-77.07389,38.88275,137
Arlington National Cemetery,-77.07122,38.87657,271
Assateague Island National Seashore,-75.20818,38.08332,396
Aztec Ruins National Monument,-107.99782,36.83583,398
Badlands National Park,-102.43392,43.6504,152
Bandelier National Monument,-106.32082,35.77888,46
Battleground National Cemetery,-73.96286,40.81333,481
Benjamin Franklin National Memorial,-75.17286,39.95832,60
Bent's Old Fort National Historic Site,-103.42502,38.04045,301
Bering Land Bridge National Preserve,-164.80842,66.05595,101
Big Bend National Park,-103.06042,29.81874,404
Big Cypress National Preserve,-81.0337,25.85889,466
Big Hole National Battlefield,-113.64332,45.6375,323
Big South Fork National River and Recreation Area,-84.69835,36.4865,338
Big Thicket National Preserve,-94.41082,30.27567,413
Bighorn Canyon National Recreation Area,-108.13032,45.19444,58
Biscayne National Park,-80.26162,25.442,30
Black Canyon of the Gunnison National Park,-107.72792,38.58491,241
Blue Ridge Parkway,-80.93578,36.51861,386
Bluestone National Scenic River,-80.99901,37.54167,23
Booker T. Washington National Monument,-79.76564,37.12333,299
Boston African American National Historic Site,-71.06454,42.36,364
Boston Harbor Islands National Recreation Area,-70.94565,42.31861,54
Boston National Historical Park,-71.05617,42.36,255
Brices Cross Roads National Battlefield Site,-88.7284,34.50672,477
Brown v. Board of Education National Historic Site,-95.67621,39.03806,331
Bryce Canyon National Park,-112.19632,37.5548,144
Buck Island Reef National Monument,-64.61897,17.78694,326
Buffalo National River,-92.42606,36.17806,391
Cabrillo National Monument,-117.24202,32.67352,153
California Coastal National Monument,-122.17994,36.89,76
Canaveral National Seashore,-80.77679,28.7675,215
Cane River Creole National Historical Park,-93.00343,31.66684,456
Canyon de Chelly National Monument,-109.46912,36.1336,484
Canyonlands National Park,-109.88072,38.261,238
Canyons of the Ancients National Monument,-108.99994,37.37,301
Cape Cod National Seashore,-70.20513,42.07389,431
Cape Hatteras National Seashore,-75.51123,35.30361,332
Cape Henry Memorial,-76.00819,36.92806,249
Cape Krusenstern National Monument,-163.50002,67.41333,242
Cape Lookout National Seashore,-76.53624,34.60528,90
Capitol Reef National Park,-111.23862,38.27617,173
Captain John Smith Chesapeake National Historic Trail,-75.99995,38,125
Capulin Volcano National Monument,-103.96972,36.78222,40
Carl Sandburg Home National Historic Site,-82.45149,35.26778,67
Carlsbad Caverns National Park,-104.40902,32.1648,439
Carrizo Plain,-119.74994,35.16,7
Carter G. Woodson Home National Historic Site,-77.02399,38.90999,484
Casa Grande Ruins National Monument,-111.53162,32.99517,254
Cascade–Siskiyou National Monument,-122.46105,42.07778,224
Castillo de San Marcos National Monument,-81.31153,29.89775,426
