Name,Longitude,Latitude
Abraham Lincoln Birthplace National Historical Park,-85.7302,37.5332
Abraham Lincoln National Cemetery,-88.12595,41.3896
Acadia National Park,-68.04902,44.454
Adams National Historical Park,-71.01119,42.25639
Admiralty Island National Monument,-134.16105,57.61806
African American Civil War Memorial,-77.02569,38.91639
African Burial Ground National Monument,-73.99364,40.71367
Agate Fossil Beds National Monument,-103.75492,42.42428
Agua Fria National Monument,-112.07633,34.15417
AIDS Memorial Grove,-122.46122,37.77
Ala Kahakai National Historic Trail,-155.68106,18.91111
Alagnak River,-156.79582,59.01063
Aleutian World War II National Historic Area,-166.52692,53.88889
Alibates Flint Quarries National Monument,-101.66722,35.57139
Allegheny Portage Railroad,-78.5401,40.45417
Amistad National Recreation Area,-101.04972,29.43667
Anacostia Park,-76.89998,38.8
Andersonville National Cemetery,-84.13093,32.20358
Andersonville National Historic Site,-84.12686,32.19759
Andrew Johnson National Cemetery,-82.83763,36.15527
Andrew Johnson National Historic Site,-82.83482,36.15833
Aniakchak National Monument and Preserve,-158.14972,56.9
Antietam National Battlefield,-77.73945,39.4803
Antietam National Cemetery,-77.73904,39.47914
Apostle Islands National Lakeshore,-90.66402,46.96528
Appomattox Court House National Historical Park,-78.80083,37.37845
Arches National Park,-109.56462,38.77
Arkansas Post National Memorial,-91.34347,34.02361
Arlington House The Robert E. Lee Memorial,-77.07389,38.88275
Arlington National Cemetery,-77.07122,38.87657
Assateague Island National Seashore,-75.20818,38.08332
Aztec Ruins National Monument,-107.99782,36.83583
Badlands National Park,-102.43392,43.6504
Bandelier National Monument,-106.32082,35.77888
Battleground National Cemetery,-73.96286,40.81333
Benjamin Franklin National Memorial,-75.17286,39.95832
Bent's Old Fort National Historic Site,-103.42502,38.04045
Bering Land Bridge National Preserve,-164.80842,66.05595
Big Bend National Park,-103.06042,29.81874
Big Cypress National Preserve,-81.0337,25.85889
Big Hole National Battlefield,-113.64332,45.6375
Big South Fork National River and Recreation Area,-84.69835,36.4865
Big Thicket National Preserve,-94.41082,30.27567
Bighorn Canyon National Recreation Area,-108.13032,45.19444
Biscayne National Park,-80.26162,25.442
Black Canyon of the Gunnison National Park,-107.72792,38.58491
Blue Ridge Parkway,-80.93578,36.51861
Bluestone National Scenic River,-80.99901,37.54167
Booker T. Washington National Monument,-79.76564,37.12333
Boston African American National Historic Site,-71.06454,42.36
Boston Harbor Islands National Recreation Area,-70.94565,42.31861
Boston National Historical Park,-71.05617,42.36
Brices Cross Roads National Battlefield Site,-88.7284,34.50672
Brown v. Board of Education National Historic Site,-95.67621,39.03806
Bryce Canyon National Park,-112.19632,37.5548
Buck Island Reef National Monument,-64.61897,17.78694
Buffalo National River,-92.42606,36.17806
Cabrillo National Monument,-117.24202,32.67352
California Coastal National Monument,-122.17994,36.89
Canaveral National Seashore,-80.77679,28.7675
Cane River Creole National Historical Park,-93.00343,31.66684
Canyon de Chelly National Monument,-109.46912,36.1336
Canyonlands National Park,-109.88072,38.261
Canyons of the Ancients National Monument,-108.99994,37.37
Cape Cod National Seashore,-70.20513,42.07389
Cape Hatteras National Seashore,-75.51123,35.30361
Cape Henry Memorial,-76.00819,36.92806
Cape Krusenstern National Monument,-163.50002,67.41333
Cape Lookout National Seashore,-76.53624,34.60528
Capitol Reef National Park,-111.23862,38.27617
Captain John Smith Chesapeake National Historic Trail,-75.99995,38
Capulin Volcano National Monument,-103.96972,36.78222
Carl Sandburg Home National Historic Site,-82.45149,35.26778
Carlsbad Caverns National Park,-104.40902,32.1648
Carrizo Plain,-119.74994,35.16
Carter G. Woodson Home National Historic Site,-77.02399,38.90999
Casa Grande Ruins National Monument,-111.53162,32.99517
Cascade–Siskiyou National Monument,-122.46105,42.07778
Castillo de San Marcos National Monument,-81.31153,29.89775
Castle Clinton National Monument,-74.01674,40.7036
Catoctin Mountain Park,-77.46665,39.64833
Cedar Breaks National Monument,-112.84612,37.64519
Cedar Creek and Belle Grove National Historical Park,-78.30063,39.16749
Chaco Culture National Historical Park,-107.95862,36.05833
Chalmette National Cemetery,-89.98648,29.94417
Chamizal National Memorial,-106.45402,31.76778
Channel Islands National Park,-119.74212,34.0394
Charles Pinckney National Historic Site,-79.82454,32.84611
Chattahoochee River National Recreation Area,-84.32454,33.98722
Chesapeake and Ohio Canal National Historical Park,-77.05744,38.89972
Chicago Portage National Historic Site,-87.80676,41.80556
Chickamauga and Chattanooga National Military Park,-85.25984,34.94
Chickasaw National Recreation Area,-96.97204,34.50056
Chimney Rock National Historic Site,-103.34792,41.70368
Chiricahua National Monument,-109.34802,32.01778
Christiansted National Historic Site,-64.70204,17.74693
City of Rocks National Reserve,-113.70366,42.07727
Clara Barton National Historic Site,-77.14065,38.96694
Colonial National Historical Park,-76.5084,37.21926
Colonial Parkway,-76.71576,37.21557
Colorado National Monument,-108.68582,39.04249
Congaree National Park,-80.78308,33.78333
Coronado National Memorial,-110.25602,31.3455
Cowpens National Battlefield,-81.8179,35.13667
Crater Lake National Park,-122.10872,42.943
Craters of the Moon National Monument and Preserve,-113.51642,43.41667
Cumberland Gap National Historical Park,-83.68703,36.60417
Cumberland Island National Seashore,-81.44985,30.83333
Curecanti National Recreation Area,-107.32672,38.45472
Custer National Cemetery,-107.43165,45.56953
Cuyahoga Valley National Park,-81.55677,41.20906
